epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.4914,0.432958,0.655511,0.8694,1.105984
2,0.569085,0.362374,0.835311,0.888,1.319069
3,0.487874,0.334839,0.854378,0.8946,1.262656
4,0.441912,0.321429,0.868667,0.8966,1.214727
5,0.410732,0.319783,0.877244,0.8964,1.186284
6,0.391583,0.312986,0.8836,0.8998,1.179634
7,0.361927,0.313871,0.889867,0.8994,1.169753
8,0.345828,0.308771,0.896622,0.9034,1.178345
9,0.332675,0.310373,0.900111,0.9038,1.167713
10,0.321888,0.310861,0.905178,0.9042,1.143205
